algo,label,net_pnl,net_pnl_quote,total_executors,total_executors_with_position,total_volume,total_long,total_short,accuracy_long,accuracy_short,total_positions,accuracy,max_drawdown_usd,max_drawdown_pct,sharpe_ratio,profit_factor,win_signals,loss_signals,close_types.EARLY_STOP,close_types.TIME_LIMIT,error,traceback
pmm_simple,pmm_simple_2,-0.0016823865340931227,-0.8411932670465614,440.0,50.0,24999.001335175508,26.0,24.0,0.6153846153846154,0.5,50.0,0.56,-8.208940289112709,-0.016437703691666125,-0.34803227168575646,0.9694652873132941,28.0,22.0,390.0,50.0,,
pmm_simple,pmm_simple_1,-0.0016823865340931227,-0.8411932670465614,440.0,50.0,24999.001335175508,26.0,24.0,0.6153846153846154,0.5,50.0,0.56,-8.208940289112709,-0.016437703691666125,-0.34803227168575646,0.9694652873132941,28.0,22.0,390.0,50.0,,
pmm_simple,pmm_simple_3,-0.005589383864159039,-2.7946919320795196,500.0,35.0,17490.78143497461,26.0,9.0,0.6153846153846154,0.4444444444444444,35.0,0.5714285714285714,-7.192170137587443,-0.014401708071687103,-0.40800083463942227,0.8752690940115361,20.0,15.0,465.0,35.0,,
pmm_simple,pmm_simple_4,-0.005589383864159039,-2.7946919320795196,500.0,35.0,17490.78143497461,26.0,9.0,0.6153846153846154,0.4444444444444444,35.0,0.5714285714285714,-7.192170137587443,-0.014401708071687103,-0.40800083463942227,0.8752690940115361,20.0,15.0,465.0,35.0,,
pmm_simple,pmm_simple_5,-0.01995959920789029,-9.979799603945146,512.0,32.0,16010.925058328243,8.0,24.0,0.375,0.5,32.0,0.46875,-11.290081705609765,-0.02259381706748158,-1.1078479410814965,0.5889838350807509,15.0,17.0,480.0,32.0,,
pmm_simple,pmm_simple_7,-0.023866596537956208,-11.933298268978104,572.0,17.0,8502.705158127344,8.0,9.0,0.375,0.4444444444444444,17.0,0.4117647058823529,-11.695569232447179,-0.02340528249735158,-1.2017776121158203,0.37645441353892517,7.0,10.0,555.0,17.0,,
pmm_simple,pmm_simple_8,-0.023866596537956208,-11.933298268978104,572.0,17.0,8502.705158127344,8.0,9.0,0.375,0.4444444444444444,17.0,0.4117647058823529,-11.695569232447179,-0.02340528249735158,-1.2017776121158203,0.37645441353892517,7.0,10.0,555.0,17.0,,
pmm_simple,pmm_simple_6,-0.01995959920789029,-9.979799603945146,512.0,32.0,16010.925058328243,8.0,24.0,0.375,0.5,32.0,0.46875,-11.290081705609765,-0.02259381706748158,-1.1078479410814965,0.5889838350807509,15.0,17.0,480.0,32.0,,
pmm_dynamic_2,pmm_dynamic_2_1,-1.6969119999986992,-1696.9119999986992,440.0,50.0,71251824.0,26.0,24.0,0.6153846153846154,0.5,50.0,0.56,-22698.28300000039,35.01843312284034,-0.31701260571950396,0.9782010104156694,28.0,22.0,390.0,50.0,,
pmm_dynamic_2,pmm_dynamic_2_2,-1.6969119999986992,-1696.9119999986992,440.0,50.0,71251824.0,26.0,24.0,0.6153846153846154,0.5,50.0,0.56,-22698.28300000039,35.01843312284034,-0.31701260571950396,0.9782010104156694,28.0,22.0,390.0,50.0,,
pmm_dynamic_2,pmm_dynamic_2_4,-1.6969119999986992,-1696.9119999986992,440.0,50.0,71251824.0,26.0,24.0,0.6153846153846154,0.5,50.0,0.56,-22698.28300000039,35.01843312284034,-0.31701260571950396,0.9782010104156694,28.0,22.0,390.0,50.0,,
pmm_dynamic_2,pmm_dynamic_2_3,-1.6969119999986992,-1696.9119999986992,440.0,50.0,71251824.0,26.0,24.0,0.6153846153846154,0.5,50.0,0.56,-22698.28300000039,35.01843312284034,-0.31701260571950396,0.9782010104156694,28.0,22.0,390.0,50.0,,
pmm_dynamic_2,pmm_dynamic_2_5,-1.6969119999986992,-1696.9119999986992,440.0,50.0,71251824.0,26.0,24.0,0.6153846153846154,0.5,50.0,0.56,-22698.28300000039,35.01843312284034,-0.31701260571950396,0.9782010104156694,28.0,22.0,390.0,50.0,,
pmm_dynamic_2,pmm_dynamic_2_6,-1.6969119999986992,-1696.9119999986992,440.0,50.0,71251824.0,26.0,24.0,0.6153846153846154,0.5,50.0,0.56,-22698.28300000039,35.01843312284034,-0.31701260571950396,0.9782010104156694,28.0,22.0,390.0,50.0,,
pmm_dynamic_2,pmm_dynamic_2_7,-1.6969119999986992,-1696.9119999986992,440.0,50.0,71251824.0,26.0,24.0,0.6153846153846154,0.5,50.0,0.56,-22698.28300000039,35.01843312284034,-0.31701260571950396,0.9782010104156694,28.0,22.0,390.0,50.0,,
pmm_dynamic_2,pmm_dynamic_2_8,-1.6969119999986992,-1696.9119999986992,440.0,50.0,71251824.0,26.0,24.0,0.6153846153846154,0.5,50.0,0.56,-22698.28300000039,35.01843312284034,-0.31701260571950396,0.9782010104156694,28.0,22.0,390.0,50.0,,
pmm_dynamic,pmm_dynamic_2,,,,,,,,,,,,,,,,,,,,"An exception occurred during backtesting: pmm_dynamic.update_processed_data failed – candle data unavailable or malformed: 'NoneType' object is not subscriptable. Ensure candles_config includes start_time/end_time matching the backtest window, and that the CandlesFactory has access to historical data.","['Traceback (most recent call last):\n  File ""/backend-api/bots/controllers/market_making/pmm_dynamic.py"", line 95, in update_processed_data\n    candles = self.market_data_provider.get_candles_df(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/opt/conda/envs/backend-api/lib/python3.12/site-packages/hummingbot/strategy_v2/backtesting/backtesting_data_provider.py"", line 128, in get_candles_df\n    return candles_df[(candles_df[""timestamp""] >= self.start_time) & (candles_df[""timestamp""] <= self.end_time)]\n                       ~~~~~~~~~~^^^^^^^^^^^^^\nTypeError: \'NoneType\' object is not subscriptable\n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""/backend-api/routers/manage_backtesting.py"", line 64, in run_backtesting\n    backtesting_results = await backtesting_engine.run_backtesting(\n                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/opt/conda/envs/backend-api/lib/python3.12/site-packages/hummingbot/strategy_v2/backtesting/backtesting_engine_base.py"", line 96, in run_backtesting\n    await self.controller.update_processed_data()\n  File ""/backend-api/bots/controllers/market_making/pmm_dynamic.py"", line 147, in update_processed_data\n    raise RuntimeError(msg) from e\nRuntimeError: pmm_dynamic.update_processed_data failed – candle data unavailable or malformed: \'NoneType\' object is not subscriptable. Ensure candles_config includes start_time/end_time matching the backtest window, and that the CandlesFactory has access to historical data.\n']"
pmm_dynamic,pmm_dynamic_3,,,,,,,,,,,,,,,,,,,,"An exception occurred during backtesting: pmm_dynamic.update_processed_data failed – candle data unavailable or malformed: 'NoneType' object is not subscriptable. Ensure candles_config includes start_time/end_time matching the backtest window, and that the CandlesFactory has access to historical data.","['Traceback (most recent call last):\n  File ""/backend-api/bots/controllers/market_making/pmm_dynamic.py"", line 95, in update_processed_data\n    candles = self.market_data_provider.get_candles_df(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/opt/conda/envs/backend-api/lib/python3.12/site-packages/hummingbot/strategy_v2/backtesting/backtesting_data_provider.py"", line 128, in get_candles_df\n    return candles_df[(candles_df[""timestamp""] >= self.start_time) & (candles_df[""timestamp""] <= self.end_time)]\n                       ~~~~~~~~~~^^^^^^^^^^^^^\nTypeError: \'NoneType\' object is not subscriptable\n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""/backend-api/routers/manage_backtesting.py"", line 64, in run_backtesting\n    backtesting_results = await backtesting_engine.run_backtesting(\n                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/opt/conda/envs/backend-api/lib/python3.12/site-packages/hummingbot/strategy_v2/backtesting/backtesting_engine_base.py"", line 96, in run_backtesting\n    await self.controller.update_processed_data()\n  File ""/backend-api/bots/controllers/market_making/pmm_dynamic.py"", line 147, in update_processed_data\n    raise RuntimeError(msg) from e\nRuntimeError: pmm_dynamic.update_processed_data failed – candle data unavailable or malformed: \'NoneType\' object is not subscriptable. Ensure candles_config includes start_time/end_time matching the backtest window, and that the CandlesFactory has access to historical data.\n']"
pmm_dynamic,pmm_dynamic_1,,,,,,,,,,,,,,,,,,,,"An exception occurred during backtesting: pmm_dynamic.update_processed_data failed – candle data unavailable or malformed: 'NoneType' object is not subscriptable. Ensure candles_config includes start_time/end_time matching the backtest window, and that the CandlesFactory has access to historical data.","['Traceback (most recent call last):\n  File ""/backend-api/bots/controllers/market_making/pmm_dynamic.py"", line 95, in update_processed_data\n    candles = self.market_data_provider.get_candles_df(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/opt/conda/envs/backend-api/lib/python3.12/site-packages/hummingbot/strategy_v2/backtesting/backtesting_data_provider.py"", line 128, in get_candles_df\n    return candles_df[(candles_df[""timestamp""] >= self.start_time) & (candles_df[""timestamp""] <= self.end_time)]\n                       ~~~~~~~~~~^^^^^^^^^^^^^\nTypeError: \'NoneType\' object is not subscriptable\n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""/backend-api/routers/manage_backtesting.py"", line 64, in run_backtesting\n    backtesting_results = await backtesting_engine.run_backtesting(\n                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/opt/conda/envs/backend-api/lib/python3.12/site-packages/hummingbot/strategy_v2/backtesting/backtesting_engine_base.py"", line 96, in run_backtesting\n    await self.controller.update_processed_data()\n  File ""/backend-api/bots/controllers/market_making/pmm_dynamic.py"", line 147, in update_processed_data\n    raise RuntimeError(msg) from e\nRuntimeError: pmm_dynamic.update_processed_data failed – candle data unavailable or malformed: \'NoneType\' object is not subscriptable. Ensure candles_config includes start_time/end_time matching the backtest window, and that the CandlesFactory has access to historical data.\n']"
pmm_dynamic,pmm_dynamic_4,,,,,,,,,,,,,,,,,,,,"An exception occurred during backtesting: pmm_dynamic.update_processed_data failed – candle data unavailable or malformed: 'NoneType' object is not subscriptable. Ensure candles_config includes start_time/end_time matching the backtest window, and that the CandlesFactory has access to historical data.","['Traceback (most recent call last):\n  File ""/backend-api/bots/controllers/market_making/pmm_dynamic.py"", line 95, in update_processed_data\n    candles = self.market_data_provider.get_candles_df(\n              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/opt/conda/envs/backend-api/lib/python3.12/site-packages/hummingbot/strategy_v2/backtesting/backtesting_data_provider.py"", line 128, in get_candles_df\n    return candles_df[(candles_df[""timestamp""] >= self.start_time) & (candles_df[""timestamp""] <= self.end_time)]\n                       ~~~~~~~~~~^^^^^^^^^^^^^\nTypeError: \'NoneType\' object is not subscriptable\n\nThe above exception was the direct cause of the following exception:\n\nTraceback (most recent call last):\n  File ""/backend-api/routers/manage_backtesting.py"", line 64, in run_backtesting\n    backtesting_results = await backtesting_engine.run_backtesting(\n                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/opt/conda/envs/backend-api/lib/python3.12/site-packages/hummingbot/strategy_v2/backtesting/backtesting_engine_base.py"", line 96, in run_backtesting\n    await self.controller.update_processed_data()\n  File ""/backend-api/bots/controllers/market_making/pmm_dynamic.py"", line 147, in update_processed_data\n    raise RuntimeError(msg) from e\nRuntimeError: pmm_dynamic.update_processed_data failed – candle data unavailable or malformed: \'NoneType\' object is not subscriptable. Ensure candles_config includes start_time/end_time matching the backtest window, and that the CandlesFactory has access to historical data.\n']"
